Date,SHOP
7/11/2018,160.98
7/12/2018,167.5
7/13/2018,166.18
7/16/2018,165.35
7/17/2018,169
7/18/2018,170.48
7/19/2018,171.75
7/20/2018,171.75
7/23/2018,173.26
7/24/2018,168.34
7/25/2018,173.78
7/26/2018,170.29
7/27/2018,160.15
7/30/2018,148.08
7/31/2018,138.21
8/1/2018,136.36
8/2/2018,143.92
8/3/2018,141.87
8/6/2018,142.04
8/7/2018,141.68
8/8/2018,142.7
8/9/2018,146.44
8/10/2018,149.22
8/13/2018,142.87
8/14/2018,144.38
8/15/2018,138.92
8/16/2018,139.16
8/17/2018,137.19
8/20/2018,135.97
8/21/2018,133.44
8/22/2018,137.63
8/23/2018,137.49
8/24/2018,140.58
8/27/2018,144.04
8/28/2018,145
8/29/2018,145.15
8/30/2018,144.81
8/31/2018,145.67
9/4/2018,146.34
9/5/2018,139.97
9/6/2018,134.13
9/7/2018,140.64
9/10/2018,142.13
9/11/2018,147.76
9/12/2018,153.13
9/13/2018,155.5
9/14/2018,154.77
9/17/2018,153.63
9/18/2018,162.28
9/19/2018,164.6
9/20/2018,167.17
9/21/2018,161.52
9/24/2018,162.18
9/25/2018,161.11
9/26/2018,162
9/27/2018,164.45
9/28/2018,164.46
10/1/2018,163.42
10/2/2018,156.6
10/3/2018,160.2
10/4/2018,148.91
10/5/2018,145.6
10/8/2018,140.49
10/9/2018,140.22
10/10/2018,130.1
10/11/2018,128.39
10/12/2018,135.2
10/15/2018,135.7
10/16/2018,145.83
10/17/2018,137.37
10/18/2018,134.78
10/19/2018,127.07
10/22/2018,134.37
10/23/2018,132.16
10/24/2018,122.27
10/25/2018,136.99
10/26/2018,132.95
10/29/2018,128.5
10/30/2018,129.14
10/31/2018,138.15
11/1/2018,144.35
11/2/2018,145.55
11/5/2018,141.03
11/6/2018,140.93
11/7/2018,148.19
11/8/2018,149.54
11/9/2018,140.9
11/12/2018,135.54
11/13/2018,138.78
11/14/2018,142.76
11/15/2018,150.09
11/16/2018,151.02
11/19/2018,133.75
11/20/2018,134.35
11/21/2018,132.61
11/23/2018,134.81
11/26/2018,144.44
11/27/2018,144.47
11/28/2018,149.96
11/29/2018,149.04
11/30/2018,152.66
12/3/2018,156.39
12/4/2018,150.2
12/6/2018,156.9
12/7/2018,146.88
12/10/2018,151.5
12/11/2018,154.67
12/12/2018,160.09
12/13/2018,161.06
12/14/2018,140.17
12/17/2018,129.66
12/18/2018,134.39
12/19/2018,133.19
12/20/2018,127.71
12/21/2018,122.41
12/24/2018,119.1
12/26/2018,130.21
12/27/2018,132.4
12/28/2018,133.46
12/31/2018,138.45
1/2/2019,137.6
1/3/2019,129.79
1/4/2019,138.06
1/7/2019,144.39
1/8/2019,145.44
1/9/2019,148.62
1/10/2019,148.27
1/11/2019,149.43
1/14/2019,149.1
1/15/2019,154.3
1/16/2019,158.25
1/17/2019,157.69
1/18/2019,158.43
1/22/2019,156.28
1/23/2019,156.6
1/24/2019,158.41
1/25/2019,162.82
1/28/2019,159.44
1/29/2019,157.11
1/30/2019,162.43
1/31/2019,168.47
2/1/2019,170.59
2/4/2019,173.55
