Date,RBC
11/21/2016,66.37
11/22/2016,66.33
11/23/2016,66.59
11/25/2016,66.53
11/28/2016,66.49
11/29/2016,67.05
11/30/2016,64.82
12/1/2016,65.46
12/2/2016,66.07
12/5/2016,66.28
12/6/2016,66.28
12/7/2016,66.75
12/8/2016,67.8
12/9/2016,68.53
12/12/2016,68.76
12/13/2016,69.46
12/14/2016,68.3
12/15/2016,68.56
12/16/2016,68.63
12/19/2016,68.42
12/20/2016,68.81
12/21/2016,68.61
12/22/2016,68.21
12/23/2016,67.77
12/27/2016,67.9
12/28/2016,67.71
12/29/2016,67.68
12/30/2016,67.71
1/3/2017,68.14
1/4/2017,69.77
1/5/2017,70.08
1/6/2017,70.07
1/9/2017,69.94
1/10/2017,70.31
1/11/2017,71.29
1/12/2017,71.41
1/13/2017,71.96
1/17/2017,71.65
1/18/2017,70.36
1/19/2017,70.05
1/20/2017,70.65
1/23/2017,70.92
1/24/2017,71
1/25/2017,71.97
1/26/2017,72.03
1/27/2017,71.9
1/30/2017,71.7
1/31/2017,71.87
2/1/2017,71.77
2/2/2017,72.03
2/3/2017,72.62
2/6/2017,72.42
2/7/2017,72.37
2/8/2017,72.53
2/9/2017,73.2
2/10/2017,73.98
2/13/2017,74.28
2/14/2017,74.58
2/15/2017,75.32
2/16/2017,75.46
2/17/2017,75.63
2/21/2017,75.36
2/22/2017,75.02
2/23/2017,74.88
2/24/2017,73.77
2/27/2017,74.17
2/28/2017,72.67
3/1/2017,73.12
3/2/2017,73.05
3/3/2017,73.48
3/6/2017,73.89
3/7/2017,73.58
3/8/2017,72.85
3/9/2017,72.77
3/10/2017,72.54
3/13/2017,72.52
3/14/2017,72.15
3/15/2017,72.64
3/16/2017,72.94
3/17/2017,72.59
3/20/2017,72.1
3/21/2017,71.45
3/22/2017,71.46
3/23/2017,72.41
3/24/2017,72.14
3/27/2017,72.39
3/28/2017,73.09
3/29/2017,73.64
3/30/2017,73.38
3/31/2017,72.91
4/3/2017,72.32
4/4/2017,72.3
4/5/2017,72.23
4/6/2017,72.91
4/7/2017,72.59
4/10/2017,72.91
4/11/2017,72.61
4/12/2017,72.4
4/13/2017,70.99
4/17/2017,72.06
4/18/2017,71.33
4/19/2017,70.61
4/20/2017,71.09
4/21/2017,70
4/24/2017,71.15
4/25/2017,71.51
4/26/2017,70.12
4/27/2017,68.71
4/28/2017,68.48
5/1/2017,68.2
5/2/2017,67.54
5/3/2017,67.65
5/4/2017,67.43
5/5/2017,68.68
5/8/2017,68.73
5/9/2017,67.72
5/10/2017,68.32
5/11/2017,67.71
5/12/2017,67.45
5/15/2017,68.58
5/16/2017,68.44
5/17/2017,67.19
5/18/2017,67.93
5/19/2017,68.81
5/22/2017,68.87
5/23/2017,69.25
5/24/2017,69.26
5/25/2017,69.64
5/26/2017,69.79
5/30/2017,69.49
5/31/2017,69.1
6/1/2017,69.38
6/2/2017,69.52
6/5/2017,69.42
6/6/2017,69.05
6/7/2017,68.95
6/8/2017,69.59
6/9/2017,70.8
6/12/2017,70.7
6/13/2017,70.94
6/14/2017,70.57
6/15/2017,70.6
6/16/2017,71.01
6/19/2017,71.36
6/20/2017,70.66
6/21/2017,70.05
