Date,TSLA
10/13/2016,200.24
10/14/2016,196.51
10/17/2016,193.96
10/18/2016,199.1
10/19/2016,203.56
10/20/2016,199.1
10/21/2016,200.09
10/24/2016,202.76
10/25/2016,202.34
10/26/2016,202.24
10/27/2016,204.01
10/28/2016,199.97
10/31/2016,197.73
11/1/2016,190.79
11/2/2016,188.02
11/3/2016,187.42
11/4/2016,190.56
11/7/2016,193.21
11/8/2016,194.94
11/9/2016,190.06
11/10/2016,185.35
11/11/2016,188.56
11/14/2016,181.45
11/15/2016,183.77
11/16/2016,183.93
11/17/2016,188.66
11/18/2016,185.02
11/21/2016,184.52
11/22/2016,191.17
11/23/2016,193.14
11/25/2016,196.65
11/28/2016,196.12
11/29/2016,189.57
11/30/2016,189.4
12/1/2016,181.88
12/2/2016,181.47
12/5/2016,186.8
12/6/2016,185.85
12/7/2016,193.15
12/8/2016,192.29
12/9/2016,192.18
12/12/2016,192.43
12/13/2016,198.15
12/14/2016,198.69
12/15/2016,197.58
12/16/2016,202.49
12/19/2016,202.73
12/20/2016,208.79
12/21/2016,207.7
12/22/2016,208.45
12/23/2016,213.34
12/27/2016,219.53
12/28/2016,219.74
12/29/2016,214.68
12/30/2016,213.69
1/3/2017,216.99
1/4/2017,226.99
1/5/2017,226.75
1/6/2017,229.01
1/9/2017,231.28
1/10/2017,229.87
1/11/2017,229.73
1/12/2017,229.59
1/13/2017,237.75
1/17/2017,235.58
1/18/2017,238.36
1/19/2017,243.76
1/20/2017,244.73
1/23/2017,248.92
1/24/2017,254.61
1/25/2017,254.47
1/26/2017,252.51
1/27/2017,252.95
1/30/2017,250.63
1/31/2017,251.93
2/1/2017,249.24
2/2/2017,251.55
2/3/2017,251.33
2/6/2017,257.77
2/7/2017,257.48
2/8/2017,262.08
2/9/2017,269.2
2/10/2017,269.23
2/13/2017,280.6
2/14/2017,280.98
2/15/2017,279.76
2/16/2017,268.95
2/17/2017,272.23
2/21/2017,277.39
2/22/2017,273.51
2/23/2017,255.99
2/24/2017,257
2/27/2017,246.23
2/28/2017,249.99
3/1/2017,250.02
3/2/2017,250.48
3/3/2017,251.57
3/6/2017,251.21
3/7/2017,248.59
3/8/2017,246.87
3/9/2017,244.9
3/10/2017,243.69
3/13/2017,246.17
3/14/2017,258
3/15/2017,255.73
3/16/2017,262.05
3/17/2017,261.5
3/20/2017,261.92
3/21/2017,250.68
3/22/2017,255.01
3/23/2017,254.78
3/24/2017,263.16
3/27/2017,270.22
3/28/2017,277.45
3/29/2017,277.38
3/30/2017,277.92
3/31/2017,278.3
4/3/2017,298.52
4/4/2017,303.7
4/5/2017,295
4/6/2017,298.7
4/7/2017,302.54
4/10/2017,312.39
4/11/2017,308.71
4/12/2017,296.84
4/13/2017,304
4/17/2017,301.44
4/18/2017,300.25
